defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
PIT,LA,3,71.0,197.0,,1.0,1.0
PIT,LAC,5,52.0,365.0,3.0,2.0,2.0
PIT,LV,9,140.0,301.0,5.0,7.0,5.0
PIT,NE,1,82.0,288.0,4.0,1.0,
PIT,SEA,12,101.0,345.0,6.0,2.0,
PIT,SF,2,111.0,335.0,2.0,2.0,1.0
LAC,BAL,8,73.0,319.0,2.0,1.0,
LAC,CHI,9,111.0,345.0,4.0,2.0,2.0
LAC,CIN,2,177.0,214.0,3.0,3.0,3.0
LAC,CLE,4,100.0,356.0,2.0,1.0,1.0
LAC,DEN,13,135.0,166.0,1.0,1.0,1.0
LAC,DEN,17,212.0,301.0,3.0,6.0,5.0
LAC,DET,1,69.0,246.0,3.0,3.0,2.0
LAC,GB,6,134.0,255.0,3.0,1.0,
LAC,JAX,12,102.0,329.0,2.0,1.0,1.0
LAC,KC,11,153.0,253.0,3.0,1.0,1.0
LAC,KC,14,150.0,191.0,1.0,2.0,1.0
LAC,LV,7,131.0,289.0,4.0,,
LAC,LV,16,106.0,204.0,2.0,1.0,1.0
LAC,MIA,15,44.0,216.0,2.0,1.0,
LAC,MIN,3,164.0,121.0,3.0,1.0,1.0
LAC,PIT,5,155.0,203.0,2.0,1.0,1.0
SF,ARI,3,142.0,311.0,4.0,2.0,1.0
SF,ARI,12,72.0,271.0,2.0,1.0,1.0
SF,ATL,9,17.0,303.0,1.0,1.0,
SF,BAL,6,77.0,343.0,2.0,3.0,2.0
SF,CHI,13,170.0,202.0,3.0,2.0,1.0
SF,CIN,15,68.0,192.0,3.0,1.0,1.0
SF,CLE,14,234.0,270.0,3.0,3.0,2.0
SF,DET,16,90.0,301.0,3.0,,
SF,GB,4,162.0,224.0,2.0,1.0,
SF,LA,8,200.0,191.0,3.0,1.0,1.0
SF,LA,17,133.0,231.0,1.0,1.0,
SF,MIN,1,71.0,231.0,,2.0,2.0
SF,NYG,5,84.0,441.0,3.0,1.0,1.0
SF,PIT,2,88.0,369.0,6.0,,
SF,SEA,7,179.0,235.0,2.0,2.0,2.0
SF,SEA,11,259.0,260.0,4.0,,
SEA,ARI,10,119.0,363.0,5.0,3.0,3.0
SEA,ARI,17,27.0,213.0,1.0,3.0,3.0
SEA,BAL,14,30.0,274.0,,2.0,2.0
SEA,CAR,6,136.0,269.0,4.0,2.0,2.0
SEA,CAR,19,151.0,161.0,3.0,1.0,
SEA,CHI,3,98.0,63.0,,,
SEA,CIN,5,109.0,331.0,4.0,2.0,2.0
SEA,CLE,15,94.0,161.0,1.0,3.0,1.0
SEA,DAL,8,130.0,97.0,,,
SEA,DET,4,53.0,203.0,,2.0,2.0
SEA,GB,2,128.0,249.0,2.0,1.0,1.0
SEA,LA,1,76.0,297.0,4.0,3.0,3.0
SEA,LA,16,104.0,103.0,2.0,2.0,
SEA,MIN,13,31.0,118.0,,3.0,1.0
SEA,MIN,18,60.0,146.0,,1.0,1.0
SEA,PIT,12,59.0,490.0,3.0,5.0,4.0
SEA,SF,7,61.0,124.0,,1.0,
SEA,SF,11,59.0,264.0,1.0,2.0,
LA,ARI,4,114.0,352.0,1.0,4.0,3.0
LA,ARI,13,178.0,362.0,3.0,1.0,
LA,BAL,11,96.0,299.0,1.0,5.0,3.0
LA,CHI,10,155.0,258.0,4.0,1.0,1.0
LA,CIN,12,141.0,236.0,3.0,2.0,1.0
LA,CLE,7,82.0,297.0,1.0,4.0,4.0
LA,DET,14,112.0,245.0,3.0,3.0,1.0
LA,GB,5,88.0,241.0,2.0,3.0,3.0
LA,MIN,9,146.0,159.0,2.0,3.0,1.0
LA,PIT,3,64.0,230.0,1.0,2.0,1.0
LA,SEA,1,125.0,251.0,1.0,2.0,1.0
LA,SEA,16,59.0,289.0,3.0,6.0,3.0
LA,SF,8,39.0,162.0,,,
LA,SF,17,110.0,354.0,1.0,3.0,1.0
LA,TB,15,146.0,363.0,2.0,3.0,2.0
LA,WAS,2,182.0,203.0,3.0,1.0,1.0
TB,ATL,8,101.0,397.0,2.0,5.0,4.0
