...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
212,213,Christian Kirk,HU,,WR74,,,,214,,171,189,00-0034775,WR,2017,--,20,2018,-1,--,0.008,47,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,214,Martavis Bryant,,,WR75,,,,205,,140,190.3,00-0031373,WR,2017,1.0,25,2014,0.6506666666666667,23.115236,0.011000000000000001,118,4.2,85,50,603,40.2,7,3,6,22,1.4666666666666666,0,0,3,15
226,227,Donte Moncrief,,,WR76,,,,235,,205,220.3,00-0031339,WR,2017,1.0,24,2014,0.7916666666666666,17.700228,0.054000000000000006,90,5.9,47,26,391,32.583333333333336,5,2,0,0,0,0,0,2,12
228,229,James Washington,,,WR77,,,,239,,228,227.7,00-0034676,WR,2017,--,21,2018,-1,--,0.006,60,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
232,233,Terrance Williams,,,WR78,,,,256,,229,234.3,00-0030542,WR,2017,1.0,27,2013,0.645,28.270624,0.025,74,7.2,80,53,568,35.5,6,0,2,15,0.9375,0,0,0,16
235,236,Taywan Taylor,,,WR79,,,,231,,251,240.7,00-0033911,WR,2017,1.0,22,2017,0.24874999999999997,14.905168,0.006,72,7.4,28,16,231,14.4375,4,1,8,43,2.6875,0,0,1,16
236,237,Quincy Enunwa,,,WR80,,,,229,,237,242.3,00-0031023,WR,2017,0.6521739130434783,25,2014,-1,--,0.051,209,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
239,240,Tre'Quan Smith,,,WR81,,,,234,,253,246.7,00-0034765,WR,2017,--,21,2018,-1,--,0.005,91,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0
241,242,Cole Beasley,,,WR82,,,,264,,231,248,00-0029000,WR,2017,1.0,28,2012,0.574,28.567808,0.024,,0,63,36,314,20.933333333333334,2,4,0,0,0,0,0,4,15
242,243,Phillip Dorsett II,LV,,WR83,,,,213,,267,248.3,00-0032208,WR,2017,1.0,24,2015,0.35333333333333333,10.6125,0.008,29,13.2,18,12,194,21.555555555555557,4,0,1,7,0.7777777777777778,0,0,0,9
247,248,Terrelle Pryor Sr.,,,WR84,,,,254,,213,255.7,00-0028825,WR,2017,0.926829268292683,28,2011,-1,28.117144,0.025,1,34.6,37,20,240,30,3,1,0,0,0,0,0,1,8
252,253,Brandon Marshall,,,WR85,,,,242,,248,259,00-0024334,WR,2017,0.831081081081081,33,2006,0.7759999999999999,31.487003,0.006,119,4.2,33,18,154,30.8,0,0,0,0,0,0,0,0,5
257,258,Dante Pettis,N,,WR86,,,,276,,250,265.3,00-0034860,WR,2017,--,21,2018,-1,--,0.009000000000000001,44,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
258,259,Jermaine Kearse,,,WR87,,,,310,,206,265.7,00-0029159,WR,2017,1.0,27,2012,-1,49.96,0.028999999999999998,,0,103,65,810,50.625,9,5,0,0,0,0,0,5,16
260,261,Pharoh Cooper,,,WR88,,,,,,112,112,00-0033111,WR,2017,1.0,22,2016,0.19625,3.9505453,0.005,117,4.3,19,11,84,8.4,1,0,1,6,0.6,0,1,0,10
263,264,Tavon Austin,,,WR89,,,,315,,209,275,00-0030525,WR,2017,1.0,27,2013,0.219375,12.892583,0.04,8,21.4,22,13,43,3.0714285714285716,0,0,59,270,19.285714285714285,1,4,1,14
266,267,Corey Coleman,,,WR90,,,,293,,241,276.3,00-0032966,WR,2017,0.78125,23,2016,0.7911111111111111,48.636944,0.004,15,17.4,58,23,305,33.888888888888886,4,2,0,0,0,0,0,2,9
267,268,Travis Benjamin,,,WR91,,,,281,,252,276.7,00-0029269,WR,2017,0.9120879120879121,27,2012,0.534375,49.90129,0.039,100,5.3,65,34,567,35.4375,10,4,13,96,6,0,0,4,16
268,269,Albert Wilson,,,WR92,,,,275,,247,277.3,00-0030669,WR,2017,1.0,25,2014,0.6384615384615385,40.005257,0.045,,0,62,42,554,42.61538461538461,4,3,3,6,0.46153846153846156,0,0,3,13
269,270,Ryan Grant,,,WR93,,,,230,,369,286,00-0031068,WR,2017,1.0,26,2014,0.615,20.117958,0.042,142,3,65,45,573,35.8125,10,4,0,0,0,0,0,4,16
270,271,Alex Erickson,,,WR94,,,,,,151,151,00-0032543,WR,2017,1.0,24,2016,0.2,16.693775,0.011000000000000001,,0,16,12,180,18,3,1,5,16,1.6,0,1,1,10
