Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,snap_share,rookie_season,apy_cap_pct,draft_pick,pick_value,fan_pts_var,yac_pr
276,Tyler Lockett,TEN,10.0,WR84,,227.0,303.0,265.0,00-0032211,WR,2024,0.9818181818181818,31,0.6905882352941176,2015,0.013999999999999999,69.0,7.6,24.649044,2.7346938775510203
277,Isaac TeSlaa,DET,8.0,WR85,,263.0,267.0,265.0,00-0040669,WR,2024,--,22,-1.0,2025,0.006,70.0,7.5,--,--
278,Amari Cooper,,,WR86,,226.0,305.0,265.5,00-0031544,WR,2024,0.9634146341463414,30,0.6407142857142858,2015,0.10099999999999999,4.0,25.8,55.4559,2.522727272727273
288,Ray-Ray McCloud III,ATL,5.0,WR87,,,239.0,239.0,00-0034407,WR,2024,0.9439252336448598,27,0.8505882352941176,2018,0.01,187.0,1.3,18.895294,5.403225806451613
289,Jalen Nailor,MIN,6.0,WR88,,294.0,251.0,272.5,00-0037291,WR,2024,0.7450980392156863,25,0.52,2022,0.005,191.0,1.2,31.199999,3.7857142857142856
290,Adonai Mitchell,IND,11.0,WR89,,241.0,309.0,275.0,00-0039890,WR,2024,1.0,21,0.3611764705882352,2024,0.006999999999999999,52.0,9.4,13.953594,4.391304347826087
291,Dontayvion Wicks,GB,5.0,WR90,,255.0,291.0,273.0,00-0038393,WR,2024,0.9411764705882353,23,0.5470588235294117,2023,0.005,159.0,2.3,42.251247,3.5641025641025643
293,Jalen Coker,CAR,14.0,WR91,,248.0,,248.0,00-0039491,WR,2024,0.7857142857142857,22,-1.0,2024,0.004,,0.0,45.037125,5.34375
295,Andrei Iosivas,CIN,10.0,WR92,,264.0,292.0,278.0,00-0038619,WR,2024,0.9705882352941176,24,0.7841176470588236,2023,0.004,206.0,0.7,24.915148,1.8611111111111112
297,Tory Horton,SEA,8.0,WR93,,269.0,295.0,282.0,00-0040648,WR,2024,--,21,-1.0,2025,0.004,166.0,2.0,--,--
300,Troy Franklin,DEN,12.0,WR94,,299.0,269.0,284.0,00-0039868,WR,2024,0.9411764705882353,21,0.375,2024,0.005,102.0,5.1,11.309958,5.821428571428571
301,Luke McCaffrey,WAS,12.0,WR95,,,266.0,266.0,00-0039355,WR,2024,1.0,23,0.3658823529411764,2024,0.005,100.0,5.3,4.0890913,5.388888888888889
302,Roman Wilson,PIT,5.0,WR96,,272.0,315.0,293.5,00-0039739,WR,2024,0.058823529411764705,23,0.07,2024,0.006,84.0,6.4,--,--
303,Jermaine Burton,CIN,10.0,WR97,,,274.0,274.0,00-0039810,WR,2024,0.8235294117647058,23,0.1349999999999999,2024,0.006,80.0,6.7,4.0425,5.5
305,Diontae Johnson,CLE,9.0,WR98,,276.0,313.0,294.5,00-0035216,WR,2024,0.92,28,0.5516666666666666,2019,0.004,66.0,7.9,90.082,2.757575757575758
306,Xavier Restrepo,TEN,10.0,WR99,,279.0,,279.0,00-0040522,WR,2024,--,22,-1.0,2025,0.004,,0.0,--,--
308,Kayshon Boutte,NE,14.0,WR100,,300.0,284.0,292.0,00-0038608,WR,2024,0.6176470588235294,22,0.7806666666666667,2023,0.004,187.0,1.3,47.372097,3.488372093023256
309,Brandin Cooks,NO,11.0,WR101,,282.0,318.0,300.0,00-0031236,WR,2024,0.8465909090909091,30,0.6979999999999998,2014,0.023,20.0,15.5,14.067112,2.1153846153846154
311,Tre Tucker,LV,8.0,WR102,,,285.0,285.0,00-0038563,WR,2024,0.9705882352941176,23,0.8723529411764707,2023,0.006,100.0,5.3,35.75559,4.425531914893617
313,Devaughn Vele,DEN,12.0,WR103,,,288.0,288.0,00-0039424,WR,2024,0.7647058823529411,26,0.5315384615384614,2024,0.004,235.0,0.0,26.504103,3.097560975609756
320,Marquez Valdes-Scantling,SEA,8.0,WR104,,298.0,,298.0,00-0034272,WR,2024,0.9304347826086956,29,0.5435714285714286,2018,0.013999999999999999,174.0,1.7,62.375,7.526315789473684
322,Jalen Tolbert,DAL,10.0,WR105,,,300.0,300.0,00-0037666,WR,2024,0.8235294117647058,25,0.7576470588235295,2022,0.006,88.0,6.1,27.602575,3.3877551020408165
323,Jordan Whittington,LAR,8.0,WR106,,301.0,,301.0,00-0039751,WR,2024,0.8823529411764706,23,0.292,2024,0.004,213.0,0.5,31.991,9.227272727272727
325,KeAndre Lambert-Smith,LAC,12.0,WR107,,,302.0,302.0,00-0040184,WR,2024,--,22,-1.0,2025,0.004,158.0,2.4,--,--
326,Tutu Atwell,LAR,8.0,WR108,,302.0,319.0,310.5,00-0036849,WR,2024,0.8088235294117647,24,0.3894117647058823,2021,0.036000000000000004,57.0,8.9,17.919239,3.0
328,Noah Brown,WAS,12.0,WR109,,,314.0,314.0,00-0033591,WR,2024,0.6818181818181818,28,0.630909090909091,2017,0.012,239.0,0.0,19.830727,2.3714285714285714
332,Elijah Moore,BUF,7.0,WR110,,,322.0,322.0,00-0036980,WR,2024,0.9117647058823529,24,0.7570588235294117,2021,0.009000000000000001,34.0,12.1,34.676105,2.180327868852459
334,Jaylin Lane,WAS,12.0,WR111,,,324.0,324.0,00-0040164,WR,2024,--,22,-1.0,2025,0.005,128.0,3.7,--,--
