opponent_team,season,game_id,rn,passing_yards_season_avg,passing_tds_season_avg,interceptions_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receiving_yards_season_avg,receiving_tds_season_avg,fumbles_lost_season_avg
MIA,2016,2016_10_MIA_SD,41,242.875,1.375,0.625,136.125,0.875,242.875,1.375,0.375
MIA,2016,2016_11_MIA_LA,42,252.11111111111111,1.5555555555555556,1.0,128.77777777777777,0.7777777777777778,252.11111111111111,1.5555555555555556,0.3333333333333333
MIA,2016,2016_12_SF_MIA,43,240.3,1.4,0.9,126.1,0.8,240.3,1.4,0.4
MIA,2016,2016_13_MIA_BAL,44,245.36363636363637,1.5454545454545454,0.9090909090909091,132.1818181818182,0.7272727272727273,245.36363636363637,1.5454545454545454,0.45454545454545453
MIA,2016,2016_14_ARI_MIA,45,257.0833333333333,1.75,0.9166666666666666,130.33333333333334,0.75,257.0833333333333,1.75,0.5
MIA,2016,2016_15_MIA_NYJ,46,248.46153846153845,1.7692307692307692,1.0,133.76923076923077,0.7692307692307693,248.46153846153845,1.7692307692307692,0.6153846153846154
MIA,2016,2016_16_MIA_BUF,47,249.71428571428572,1.7142857142857142,1.1428571428571428,132.5,0.7142857142857143,249.71428571428572,1.7142857142857142,0.6428571428571429
MIA,2016,2016_17_NE_MIA,48,255.0,1.8,1.0666666666666667,141.8,0.7333333333333333,255.0,1.8,0.6
MIA,2017,2017_02_MIA_LAC,49,,,,,,,,
MIA,2017,2017_03_MIA_NYJ,50,331.0,1.0,0.0,44.0,1.0,331.0,1.0,0.0
MIA,2017,2017_04_NO_MIA,51,290.0,1.0,0.0,73.5,1.0,290.0,1.0,0.5
MIA,2017,2017_05_TEN_MIA,52,282.6666666666667,1.3333333333333333,0.0,77.66666666666667,0.6666666666666666,282.6666666666667,1.3333333333333333,0.3333333333333333
MIA,2017,2017_06_MIA_ATL,53,247.25,1.25,0.0,75.5,0.5,247.25,1.25,0.75
MIA,2017,2017_07_NYJ_MIA,54,247.4,1.2,0.2,80.4,0.6,247.4,1.2,0.6
MIA,2017,2017_08_MIA_BAL,55,241.0,1.5,0.3333333333333333,82.33333333333333,0.6666666666666666,241.0,1.5,0.6666666666666666
MIA,2017,2017_09_OAK_MIA,56,223.85714285714286,1.5714285714285714,0.2857142857142857,95.42857142857143,0.5714285714285714,223.85714285714286,1.5714285714285714,0.5714285714285714
MIA,2017,2017_10_MIA_CAR,57,233.375,1.5,0.375,94.0,0.75,233.375,1.5,0.5
MIA,2017,2017_11_TB_MIA,58,235.66666666666666,1.7777777777777777,0.3333333333333333,116.22222222222223,0.8888888888888888,235.66666666666666,1.7777777777777777,0.4444444444444444
MIA,2017,2017_12_MIA_NE,59,239.6,1.8,0.3,109.9,0.8,239.6,1.8,0.4
MIA,2017,2017_13_DEN_MIA,60,238.45454545454547,2.0,0.36363636363636365,117.72727272727273,0.8181818181818182,238.45454545454547,2.0,0.45454545454545453
MIA,2017,2017_14_NE_MIA,61,235.25,1.8333333333333333,0.5833333333333334,116.5,0.75,235.25,1.8333333333333333,0.4166666666666667
MIA,2017,2017_15_MIA_BUF,62,235.07692307692307,1.7692307692307692,0.6923076923076923,109.46153846153847,0.7692307692307693,235.07692307692307,1.7692307692307692,0.38461538461538464
MIA,2017,2017_16_MIA_KC,63,234.28571428571428,1.7142857142857142,0.6428571428571429,109.92857142857143,0.8571428571428571,234.28571428571428,1.7142857142857142,0.35714285714285715
MIA,2017,2017_17_BUF_MIA,64,238.93333333333334,1.6666666666666667,0.6,109.46666666666667,0.8666666666666667,238.93333333333334,1.6666666666666667,0.3333333333333333
MIA,2018,2018_01_TEN_MIA,65,,,,,,,,
MIA,2018,2018_02_MIA_NYJ,66,220.0,0.0,3.0,116.0,1.0,220.0,0.0,0.0
