ball_team,season,game_id,rn,completions_season_avg,completions_season_avg,attempts_season_avg,attempts_season_avg,passing_yards_season_avg,passing_tds_season_avg,carries_season_avg,carries_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receptions_season_avg,receptions_season_avg,targets_season_avg,receiving_yards_season_avg,receiving_tds_season_avg
ARI,2016,2016_14_ARI_MIA,45,24.916666666666668,24.916666666666668,42.0,42.0,284.5833333333333,1.6666666666666667,25.333333333333332,25.333333333333332,105.25,1.0,24.916666666666668,24.916666666666668,41.166666666666664,284.5833333333333,1.6666666666666667
ARI,2016,2016_15_NO_ARI,46,24.384615384615383,24.384615384615383,41.30769230769231,41.30769230769231,273.84615384615387,1.6923076923076923,25.46153846153846,25.46153846153846,110.61538461538461,1.0,24.384615384615383,24.384615384615383,40.53846153846154,273.84615384615387,1.6923076923076923
ARI,2016,2016_16_ARI_SEA,47,24.642857142857142,24.642857142857142,41.214285714285715,41.214285714285715,277.0,1.7142857142857142,24.714285714285715,24.714285714285715,111.0,1.1428571428571428,24.642857142857142,24.642857142857142,40.5,277.0,1.7142857142857142
ARI,2016,2016_17_ARI_LA,48,24.066666666666666,24.066666666666666,40.266666666666666,40.266666666666666,277.46666666666664,1.6666666666666667,25.0,25.0,109.86666666666666,1.2666666666666666,24.066666666666666,24.066666666666666,39.6,277.46666666666664,1.6666666666666667
ARI,2017,2017_01_ARI_DET,49,,,,,,,,,,,,,,,
ARI,2017,2017_02_ARI_IND,50,27.0,27.0,48.0,48.0,268.0,1.0,18.0,18.0,45.0,1.0,27.0,27.0,47.0,268.0,1.0
ARI,2017,2017_03_DAL_ARI,51,23.0,23.0,42.0,42.0,300.0,1.0,21.5,21.5,64.0,0.5,23.0,23.0,41.5,300.0,1.0
ARI,2017,2017_04_SF_ARI,52,25.0,25.0,44.0,44.0,308.3333333333333,1.3333333333333333,21.333333333333332,21.333333333333332,59.0,0.3333333333333333,25.0,25.0,43.666666666666664,308.3333333333333,1.3333333333333333
ARI,2017,2017_05_ARI_PHI,53,27.0,27.0,45.75,45.75,320.5,1.25,21.5,21.5,57.0,0.25,27.0,27.0,45.5,320.5,1.25
ARI,2017,2017_06_TB_ARI,54,27.2,27.2,45.4,45.4,314.6,1.2,20.0,20.0,51.8,0.2,27.2,27.2,45.2,314.6,1.2
ARI,2017,2017_07_ARI_LA,55,25.666666666666668,25.666666666666668,41.5,41.5,309.3333333333333,1.5,22.5,22.5,69.83333333333333,0.5,25.666666666666668,25.666666666666668,41.333333333333336,309.3333333333333,1.5
ARI,2017,2017_09_ARI_SF,56,24.142857142857142,24.142857142857142,40.142857142857146,40.142857142857146,292.0,1.2857142857142858,21.0,21.0,63.42857142857143,0.42857142857142855,24.142857142857142,24.142857142857142,40.0,292.0,1.2857142857142858
ARI,2017,2017_10_SEA_ARI,57,23.0,23.0,38.875,38.875,280.625,1.375,23.75,23.75,76.375,0.375,23.0,23.0,38.625,280.625,1.375
ARI,2017,2017_11_ARI_HOU,58,23.11111111111111,23.11111111111111,39.77777777777778,39.77777777777778,279.77777777777777,1.3333333333333333,23.77777777777778,23.77777777777778,71.66666666666667,0.4444444444444444,23.11111111111111,23.11111111111111,39.55555555555556,279.77777777777777,1.3333333333333333
ARI,2017,2017_12_JAX_ARI,59,23.0,23.0,39.2,39.2,277.5,1.5,23.2,23.2,69.3,0.4,23.0,23.0,39.0,277.5,1.5
ARI,2017,2017_13_LA_ARI,60,22.90909090909091,22.90909090909091,39.09090909090909,39.09090909090909,274.1818181818182,1.5454545454545454,23.90909090909091,23.90909090909091,72.81818181818181,0.36363636363636365,22.90909090909091,22.90909090909091,38.81818181818182,274.1818181818182,1.5454545454545454
ARI,2017,2017_14_TEN_ARI,61,22.5,22.5,38.5,38.5,269.75,1.5,23.833333333333332,23.833333333333332,76.58333333333333,0.4166666666666667,22.5,22.5,38.25,269.75,1.5
ARI,2017,2017_15_ARI_WAS,62,22.076923076923077,22.076923076923077,37.53846153846154,37.53846153846154,262.6923076923077,1.3846153846153846,24.23076923076923,24.23076923076923,81.15384615384616,0.38461538461538464,22.076923076923077,22.076923076923077,37.30769230769231,262.6923076923077,1.3846153846153846
ARI,2017,2017_16_NYG_ARI,63,21.642857142857142,21.642857142857142,37.785714285714285,37.785714285714285,257.42857142857144,1.2857142857142858,24.928571428571427,24.928571428571427,85.42857142857143,0.35714285714285715,21.642857142857142,21.642857142857142,37.5,257.42857142857144,1.2857142857142858
ARI,2017,2017_17_ARI_SEA,64,21.6,21.6,37.6,37.6,255.6,1.3333333333333333,25.066666666666666,25.066666666666666,84.66666666666667,0.3333333333333333,21.6,21.6,37.266666666666666,255.6,1.3333333333333333
ARI,2018,2018_01_WAS_ARI,65,,,,,,,,,,,,,,,
ARI,2018,2018_02_ARI_LA,66,20.0,20.0,34.0,34.0,153.0,0.0,15.0,15.0,68.0,1.0,20.0,20.0,34.0,153.0,0.0
ARI,2018,2018_03_CHI_ARI,67,18.5,18.5,30.5,30.5,121.5,0.0,15.0,15.0,61.0,0.5,18.5,18.5,30.5,121.5,0.0
ARI,2018,2018_04_SEA_ARI,68,18.0,18.0,29.0,29.0,145.33333333333334,0.6666666666666666,16.0,16.0,58.333333333333336,0.3333333333333333,18.0,18.0,28.666666666666668,145.33333333333334,0.6666666666666666
